10001,02-05-2024,P001,2,4000
10002,02-05-2024,P002,1,2500
10003,03-05-2024,P007,2,16000
10004,03-05-2024,P006,1,50000
10005,04-05-2024,P005,2,50000
10006,04-05-2024,P001,2,4000
10007,05-05-2024,P002,2,5000
10008,05-05-2024,P003,2,3000
10009,06-05-2024,P009,3,10500
10010,07-05-2024,P010,3,15000
10011,08-05-2024,P005,2,50000
10012,09-05-2024,P006,2,100000
10013,10-05-2024,P001,4,8000
10014,11-05-2024,P006,4,200000
10015,11-05-2024,P008,6,18000
10016,12-05-2024,P004,1,200
10017,15-05-2024,P004,8,1600
10018,18-04-2024,P003,3,4500
10019,20-05-2024,P003,4,6000
10020,25-05-2024,P002,5,12500
10021,25-06-2024,P001,10,20000.0
